Unique Poem#	Juan.Seq#	Poem Name	Poet's Name	Poet Intro	Poem Refs	Poem Commentary	Poem Content
Lu1983.136	4.23	【艾如張】				〖《詩紀》雲。艾與刈同。芟草也。谷梁傳曰：艾蘭以為防。置旃以為轅門。謂因搜狩以習武事也。蘭。香草也。言艾草以為田之大防是也。〗	艾而張羅。夷於何。行成之。四時和。山出黃雀亦有羅。雀以高飛奈雀何。為此倚欲。誰肯礞室。（○同上○董若雨曰：Ａ１４當是墜字之誤。案此說是。《漢書》敘傳。薄姬Ａ１４宗文產德。師古注。墜。古墜字。）
Lu1983.137	4.24	【上之回】				〖《漢書》武帝紀曰：元封四年冬。行幸雍。祠五畤。通回中道。遂北出蕭關。回中地在安定。沈建樂府廣題曰：漢曲皆美當時之事。按石關。宮闕名。近甘泉宮。相如上林賦雲。蹙石關。歷封巒是也。〗	上之回。所中益。夏將至。行將北。以承甘泉宮。寒暑德。游石關。望諸國。月支臣。匈奴服。令從百官疾驅馳。千秋萬歲樂無極。（○《宋書》樂志。《樂府詩集》十六。《文選》補遺三十四。廣《文選》十二。《詩紀》五。○逯案。上之回者。言上幸回中。所中即行在所。又見雉子班。蓋當時習語。所中益言行在所儀從之盛。末二句則讚美之辭。）
Lu1983.138	4.25	【翁離】			〖一作擁離。〗		擁離趾中可築室。何用葺之蕙用蘭。擁離趾中。（○《宋書》樂志。《樂府詩集》十六。《詩紀》五。○逯案。翁離當作翁雜。漢時習語。所以狀五采之貌。郊祀歌。殊翁雜。五采文。是其證。趾者。讀為沚。詩谷風。湜湜其沚。《說文》水部引作止。詩七月。四之日舉趾。《漢書》食貨志引作止。趾皆可作止。故趾可借為沚。又沚即畤。見左氏隱三年傳釋文。漢郊五畤。郊祀志謂五畤祭黃、青、赤、白、黑神。祝宰之衣。各如其色。則五畤土色自亦各別。五畤而五色相映。故曰翁雜。又畤中築室所以祠神。故以蕙蘭葺成。此歌有脫爛處。）
Lu1983.139	4.26	【戰城南】					戰城南。死郭北。野死不葬烏可食。為我謂烏。且為客豪。野死諒不葬。腐肉安能去子逃。水深激激。蒲葦冥冥。梟騎戰鬥死。駑馬裴回鳴。梁築室何南梁何北。禾黍而獲君何食。願為忠臣安可得。思子良臣。良臣誠可思。朝行出攻。莫不夜歸。（○《宋書》樂志。《樂府詩集》十六。《文選》補遺三十四。風雅翼。選詩補遺下。廣《文選》十二。《詩紀》五。○逯案。梁築室句不辭。上樑字乃衍文。以字虛聲。原文當作築室河南梁河北河。今作河。假借字耳。《漢書》衛青傳。遂定河南地。絕梓領。梁北河。討蒲泥。破苻離云云。魏文帝典論。孝武自征元以迄征和。征匈奴四十餘舉。逾廣漠。絕梓領。封狼居。禪姑幕。梁北河云云。皆言定河南梁北河事。當梁漢人習語。如司馬相如難蜀父老。梁孫原云云。是其比。漢取河南。置朔方郡。故築室以為屯戍。並以討胡。遂有梁北河之事。此歌築室河南梁河北。即指此乎。又思子良臣。子乃哉之假借字。與下聖人出美人子之子同例。）
Lu1983.140	4.27	【巫山高】					巫山高。高以大。淮水深。難以逝。我欲東歸。害梁不為。我集無高曳。水何梁。湯湯回回。臨水遠望。泣下沾衣。遠道之人心思歸。謂之何。（○《宋書》樂志。《樂府詩集》十六。廣《文選》十二。《詩紀》五。○逯案。害梁不為。害者。曷之借字。《漢書》翟方進傳。予害敢不于身撫祖宗之所受大命。是其比。我集無高曳。集高曳為濟篙栧之借字。）
Lu1983.141	4.28	【上陵】				〖古今樂錄曰：漢章帝元和中。有宗廟食舉六曲。加重來上陵二曲為上陵食舉。《後漢書》禮儀志曰：正月上丁。祀南郊。次北郊、明堂、高廟、世祖廟謂之五供。禮畢。以次上陵。西都舊有上陵。東都之儀。太官上食。太常樂奏食舉。按古辭大略言神仙事。不知與食舉曲同否。○逯案。古今樂錄所疑非也。此題上陵與本文山林。殆皆上林之誤。〗	上陵何美美。下津風以寒。問客從何來。言從水中央。桂樹為君船。青絲為君笮。木蘭為君棹。黃金錯其間。滄海之雀赤翅鴻。白雁隨。山林乍開乍合。曾不知日月明。醴泉之水。光澤何蔚蔚。芝為車。龍為馬。覽遨遊。四海外。甘露初二年。芝生銅池中。仙人下來飲。延壽千萬歲。（○《宋書》樂志。《樂府詩集》十六。廣《文選》十二。《詩紀》五。又《書鈔》五三十八、《御覽》七百七十一併引笮、間二韻。）
Lu1983.142	4.29	【將進酒】					將進酒。乘大白。辨加哉。詩審搏。放故歌。心所作。同陰氣。詩悉索。使禹良工。觀者苦。（○《宋書》樂志。《樂府詩集》十六。《詩紀》五。○逯案。乘大白即引滿舉白之意。上言進酒。故下言舉白。辨加即駕辨。此倒言之。大招。伏義駕辨。楚勞商只。二八接武。投詩賦只。此上言辨而下言詩。正與之合。詩審搏。審讀蟠。審搏繁盛之意。見《周禮》羽人注。上言詩審搏。下言詩悉索。正示歌舞之由盛及衰。心。新之借字。與上文故對文。陰氣或謂為飲泣。借字。義亦可通。使禹二字義不明。苦。快也。見楊子方言。）
Lu1983.143	4.30	【君馬黃】					君馬黃。臣馬蒼。二馬同逐臣馬良。易之有騩蔡有赭。美人歸以南。駕車馳馬。美人傷我心。佳人歸以北。駕車馳馬。佳人安終極。（○《宋書》樂志。《樂府詩集》十六。《文選》補遺三十四。風雅翼。選詩補遺下。廣《文選》十二。《詩紀》五。○逯案。二馬之二。《宋書》作三。殆刊寫之誤。今從樂府。）
Lu1983.144	4.31	【芳樹】					芳樹日月君亂如於風。芳樹不上無心。溫而鵠。三而為行。臨蘭池。心中懷悵。心不可匡。目不可顧。妒人之子愁殺人。君有它心。樂不可禁。王將何似。如絲如魚乎。悲矣。（○《宋書》樂志。《樂府詩集》十六。《詩紀》五。○逯案。芳樹日月。月當作夕。費昶芳樹篇。幸被夕風吹云云。是梁時尚作夕。日夕。朝夕也。亂如即亂挐。懷我悵。我者聲字。蘭池。池名。亦宮名。見《漢書》楊仆傳及續《漢書》地理志。地在長安。）
Lu1983.145	4.32	【有所思】				〖古今樂錄曰：漢大樂食舉第七曲亦用之。不知與此同否。〗	有所思。乃在大海南。何用問遺君。雙珠玳瑁簪。用玉紹繚之。聞君有它心。拉雜摧燒之。摧燒之。當風揚其灰。從今以往。勿復相思。相思。與君絕。雞鳴狗吠。兄嫂當知之。秋風肅肅晨風颸。東方須臾高知之。（○《宋書》樂志。《樂府詩集》十六。廣《文選》十二。《詩紀》五。又《御覽》六百八十作引南、簪二韻。○逯案。雙珠玳瑁簪句。當有疊文。妃呼豨。聲字。）
Lu1983.146	4.33	【雉子班】					雉子班如此之於雉梁。無以吾翁孺雉子。知得雉子高飛止。黃鵠飛之以千里。王可思雄來飛從雌視子。趨一雉雉子車大駕馬滕被王送行所中。堯羊飛從王孫行。（○《宋書》樂志。《樂府詩集》十六。《詩紀》五。）
Lu1983.147	4.34	【聖人出】					聖人出。陰陽和。美人出。游九河。佳人來。騑離哉何。駕六飛龍四時和。君之臣明護不道。美人哉。宜天子。免甘星筮樂甫始。美人子。含四海。（○《宋書》樂志。《樂府詩集》十六。廣《文選》十二。《詩紀》五。○逯案。美人、佳人對舉。乃分言君臣。已見上文君馬黃曲。離哉何與臨高台離哉翻、遠如期曲佳哉紛為同一語法。美人子。子與哉同。蓋聲之轉。）
Lu1983.148	4.35	【上邪】			〖《詩紀》雲。一作雅。〗		上邪。我欲與君相知。長命無絕衰。山無陵。江水為竭。冬雷震震夏雨雪。天地合。乃敢與君絕。（○《宋書》樂志。《樂府詩集》十六。廣《文選》十二。《詩紀》五。）
Lu1983.149	4.36	【臨高台】					臨高台以軒。下有清水清且寒。江有香草目以蘭。黃鵠高飛離哉翻。關弓射鵠。令我主壽萬年。收中吾。（廣《文選》作吉。○《宋書》樂志。《樂府詩集》十六。風雅翼。選詩補遺下。廣《文選》十二。《詩紀》五。○劉履曰：篇末收中吾三字。其義未詳。疑曲調之餘聲。如樂錄所謂羊無夷、伊那何之類。逯案。此三安當是殘句。與翁離曲同例。又江有香草目以蘭。目以蘭與蕙用蘭、風以寒語法同。則目亦香草也。疑為茝之誤。）
Lu1983.150	4.37	【遠如期】				〖一曰遠期。《宋書》樂志有晚芝曲。沈約言舊史雲詁不可解。疑是漢遠期曲也。古今樂錄曰：漢太樂食舉曲有遠期。至魏省之。〗	遠如期。益如壽。處天左側。大樂萬歲。與天無極。雅樂陳。佳哉紛。單于自歸。動如驚心。虞心大佳。萬人還來。謁者引。鄉殿陳。累世未嘗聞之。增壽萬年亦誠哉。（○《宋書》樂志。《樂府詩集》十六。廣《文選》十二。《詩紀》五。○逯案。遠如期、益如壽。兩如字皆聲。與蛺蝶曲軒奴軒之奴殆同。故遠如期實即遠期也。此曲蓋美宣帝時單于來朝之作。《漢書》匈奴傳雲。單于朝甘泉。禮畢。宿長平。上登長平詔單于勿謁。其左右當戶之群臣。皆得列觀。及諸蠻夷君長侯王數萬咸迎于渭橋下。夾道陳、上登渭橋。咸稱萬歲。正與此曲所寫相同。又宣帝紀有司議曰：匈奴單于鄉風慕義。舉國同心。奉珍朝賀。自古未之有也云云。與此累世未嘗聞之。義同。）
Lu1983.151	4.38	【石留】			〖《詩紀》作流。〗		石留涼陽涼石。水流為沙錫以微。河為香向始。冷將風陽北逝。肯無敢於于揚。心邪懷蘭志金安薄北方開留離蘭。（○《宋書》樂志。《樂府詩集》十六。《詩紀》五。○逯案。留、涼雙聲。陽、涼疊韻。皆石之形容。錫讀為細。與前曲高以大語法同。言細又微也。冷將風陽北逝。冬日行北陸。故曰陽北逝。蓋上言石沙之銷毀。下言時光之迅速。）
Lu1983.152	5.1	【武溪深】	馬援	〈援。字文淵。扶風茂陵人。建武四年。奉使洛陽。以為待詔。歷太中大夫、隴西太守、虎賁中郎將。拜伏波將軍。封新息侯。二十五年。擊五溪蠻。卒于軍。建初三年。追謚曰忠成侯。〉	〖《樂府》作武溪深行。《詩紀》同。樂府雲。一作武陵深行。〗	〖《古今注》曰：武溪深。乃馬援南征之所作也。援門生爰寄生善吹笛。援作歌和之。名曰武溪深。其曲雲。〗	滔滔五溪一何深。鳥飛不度獸不敢臨。嗟哉五溪多毒淫。（○《古今注》中。《樂府詩集》七十四。歐陽集古錄上。《詩紀》三。○逯案。《御覽》六十七引善歌錄歌曰：武溪深復深。飛鳥不能渡。游獸不能臨雲。殆別是一歌也。）
Lu1983.153	5.2	【射烏辭】	王吉	〈吉。明帝時為虎賁。〉		〖《風俗通》曰：明帝東巡。有烏飛鳴乘輿上。虎賁王吉射之。作辭云云。帝賜錢百萬。遂令亭壁皆畫烏。〗	烏烏啞啞。引弓射。洞左腋。陛下壽萬年。臣為二千石。（○《初學記》三十引《風俗通》。《太平環宇記》九。《詩紀》四。）
Lu1983.154	5.3	【歌詩】	白狼王唐菆			〖廣《文選》作莋都夷歌三章。《詩紀》同。逯案。蜀都賦雲。陪以白狼。夷歌成章。○《後漢書》曰：明帝時。益州刺史朱輔宣示漢德。咸懷遠夷。自汶山以西。前世所不至。正朔所未加。白狼、槃木、唐菆等百餘國。皆舉種稱臣奉貢。白狼王唐菆作詩三章。歌頌漢德。輔使譯而獻之。〗	
Lu1983.155	5.4	【遠夷樂德歌】	白狼王唐菆				大漢是治。與天合意。吏譯平端。不從我來。聞風向化。所見奇異。多賜繒布。甘美酒食。昌樂肉飛。屈申悉備。蠻夷貧薄。無所報嗣。願主長壽。子孫昌熾。
Lu1983.156	5.5	【遠夷慕德歌】	白狼王唐菆				蠻夷所處。日入之部。慕義向化。歸日出主。聖德深恩與人富厚。冬多霜雪。夏多和雨。寒溫時適。部人多有。涉危歷險。不遠萬里。去俗歸德。心歸慈母。
Lu1983.157	5.6	【遠夷懷德歌】	白狼王唐菆				荒服之外。土地墝埆。食肉衣皮。不見鹽谷。吏譯傳風。大漢安樂。攜負歸仁。觸冒險狹。高山岐峻。緣崖磻石。木薄發家。百宿到洛。父子同賜。懷抱匹帛。傳告種人。長願臣僕。（○《後漢書》西南夷傳。廣《文選》十四。《詩紀》四。又《初學記》十五引第二章。）
Lu1983.158	5.7	【京師上巳篇】	杜篤	〈篤。字季雅。京兆杜陵人。仕郡為文學掾。建初三年。車騎將軍馬防擊西羌。請篤為從事中郎。戰沒于射姑山。所著賦、誄、吊、書、贊七言及雜文凡十八篇。〉			窈窕淑女美勝艷。妃戴翡翠珥明珠。（○《書鈔》百三十五。○逯案。《書鈔》原題杜季稚。稚殆雅之訛。又漢人七言率句句用韻。此艷珠不葉。疑非出一章。）
Lu1983.159	5.8	【五噫歌】	梁鴻	〈鴻。字伯鸞。平陵人。家貧而尚節介。隱居霸陵山中。后居吳。皋伯通舍之於家。鴻潛避著書十餘篇。卒于吳。〉		〖《後漢書》曰：梁鴻東出關。過京師。作五噫之歌。肅宗聞而非之。求鴻不得。〗	陟彼此芒兮噫。顧覽帝京兮噫。宮室崔嵬兮噫。民之劬勞兮噫。遼遼未央兮噫。（《御覽》或末二句互倒。又遼遼作寥寥。○后《漢書》梁鴻傳。《書鈔》一百六。《文選》四十三與嵇茂《齊書》注。《御覽》百五十八、五百七十二。環宇記三。《文選》補遺三十五。廣《文選》十四。又事類賦歌賦注。《詩紀》三。）
Lu1983.160	5.9	【適吳詩】	梁鴻	〈鴻。字伯鸞。平陵人。家貧而尚節介。隱居霸陵山中。后居吳。皋伯通舍之於家。鴻潛避著書十餘篇。卒于吳。〉		〖《後漢書》曰：鴻易姓運期。名耀。字侯光。與妻子居齊魯之間。有頃又去適吳。將行作《詩》曰云云。〗	逝舊邦兮遐征。將遙集兮東南。心惙怛兮傷悴。忘菲菲兮升降。欲乘策兮縱邁。疾吾俗兮作讒。競舉枉兮措直。咸先佞兮唌々。固靡慚兮獨建。冀異州兮尚賢。聊逍遙兮遨嬉。纘仲尼兮周流。儻雲睹兮我悅。遂舍車兮即浮。過季札兮延陵。求魯連兮海隅。雖不察兮光貌。幸神靈兮與休。惟季春兮華阜。麥含英兮方秀。哀茂時兮逾邁。愍芳香兮日臭。悼吾心兮不獲。長委結兮焉究。口囂囂兮余訕。嗟恇々兮誰留。（○《後漢書》梁鴻傳。《詩紀》三。又《類聚》三引秀一韻。吳棫韻補二引隅、休二韻。）
Lu1983.161	5.10	【思友詩】（《詩紀》雲。一作思高恢。）	梁鴻	〈鴻。字伯鸞。平陵人。家貧而尚節介。隱居霸陵山中。后居吳。皋伯通舍之於家。鴻潛避著書十餘篇。卒于吳。〉		〖《後漢書》曰：鴻友人京兆主恢。少好《老子》。隱於華陰山。及鴻東遊。思恢作詩。二人遂不復相見。恢亦高抗。終身不仕。〗	鳥嚶嚶兮友之期。念高子兮仆懷思。想念恢兮爰集茲。（○《後漢書》梁鴻傳。《詩紀》三。）
Lu1983.162	5.11	【武德舞歌詩】	東平王劉蒼	〈蒼。明帝同母弟。建武十五年。封東平公。十七年。進爵為王。明帝即位。拜驃騎將軍。永平五年歸國。建初八年卒。〉		〖東觀《漢記》曰：明帝永平三年八月。公卿奏世祖廟舞名。東平王蒼議。以漢制宗廟。各奏其樂。不皆相襲。光武皇帝擾亂中興。武功盛大。廟光舞宜曰大武之舞。乃進武德舞歌詩。遂用之於光武廟焉。〗	於穆世廟。肅雍顯清。俊乂翼翼。秉文之成。越序上帝。駿奔來寧。建立三雍。封禪泰山。章明圖讖。放唐之文。休矣惟德。罔射協同。本支百世。永保厥功。（○續《漢書》祭祀志九注。樂府五十二。廣《文選》八。《詩紀》三。○此歌廣《文選》作漢廟登歌詩。查南《齊書》樂志雲。永平三年。東平王蒼造光武廟登歌一章二十六句。其辭稱述功德雲。今此詩僅一十四句。知已經刪節矣。）
Lu1983.163	5.12	【明堂詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉	〖固作《東都賦》。系自此以下五詩。〗		于昭明堂。明堂孔陽。聖皇宗祀。穆穆煌煌。上帝宴饗。五位時序。誰其配之。世祖光武。普天率土。各以其職。猗歟緝熙。允懷多福。（○《後漢書》班固傳。《文選》一。《御覽》五百三十三。風雅翼補遺下。《詩紀》三。）
Lu1983.164	5.13	【辟雍詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉			乃流辟雍。辟雍湯湯。聖皇蒞止。造舟為梁。皤皤國老。乃父乃兄。抑抑威儀。孝友光明。于赫太上。示我漢行。洪化惟神。永觀厥成。（○《後漢書》班固傳。《文選》一。《御覽》五百三十四。風雅翼補遺下。《詩紀》三。）
Lu1983.165	5.14	【靈台詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉			乃經靈台。靈台既崇。帝勤時登。爰考休征。三光宣精。五行布序。習習祥風。祁祁甘雨。百谷蓁蓁。庶草蕃廡。屢惟豐年。于皇樂胥。（○《後漢書》班固傳。《文選》一。《御覽》五百三十四。風雅翼補遺下。《詩紀》三。）
Lu1983.166	5.15	【寶鼎詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉			岳修貢兮川效珍。吐金景兮歊浮雲。寶鼎見兮色紛縕。煥共炳兮被龍文。登祖廟兮享聖神。昭靈德兮彌億年。（○《後漢書》班固傳。《文選》一。《詩紀》三。）
Lu1983.167	5.16	【白雉詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉			啟靈篇兮披瑞圖。獲白雉兮效素烏。嘉祥阜兮集皇都。發皓羽兮奮翹英。容潔朗兮于純精。彰皇德兮侔周成。永延長兮膺天慶。（○《後漢書》班固傳。《文選》一。《詩紀》三。）
Lu1983.168	5.17	【論功歌詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉		〖固為漢頌。系此歌詩。○《御覽》作頌論功詩靈芝歌。樂府作古辭靈芝歌。廣《文選》同。事類賦作漢傾論功歌詩靈芝歌。《詩紀》作郊祀靈芝歌。〗	因露寢兮產靈芝。象三德兮瑞應圖。延壽命兮光此都。配上帝兮象太微。參日月兮揚光輝。（○《初學記》十五。《御覽》五百七十。《樂府詩集》一。事類賦歌賦。廣《文選》十一。《詩紀》三。）XX──右靈芝歌XX後土化育兮四時行。修靈液養兮元氣復。冬同雲兮春脈沐。膏澤洽兮殖嘉穀。（○《御覽》一。○逯案。此篇《詩紀》缺收。僅見《御覽》作漢頌論功歌詩。大抵固作漢頌中附論功歌詩若干篇。各篇並有小題。此與上靈芝歌皆其佚遺也。姑依詩義補嘉禾歌三字。藉配上篇云爾。）XX──右嘉禾歌
Lu1983.169	5.18	【詠史】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉			〖《文選》注作班固歌詩。詩品曰：孟堅才流。而老於掌故。觀其詠史。有感嘆之詞。XX三王德彌薄。惟後用肉刑。太蒼令有罪。就遞長安城。自恨身無子。困急獨煢煢。小女痛父言。死者不可生。上書詣闕下。思古歌雞鳴。憂心摧折裂。晨風揚激聲。聖漢孝文帝。惻然感至情。百男何憒憒。不如一緹縈。（○《史記》蒼公傳正義。《文選》三十六策秀才文注。廣《文選》八。《詩紀》三。）
Lu1983.170	5.19	【詩】	班固	〈固。字孟堅。扶風安陵人。永平中。召詣校書部。除蘭台令史。遷為郎。建初中。遷玄武司馬。永元初。大將軍竇憲出塞。以為中護軍。行中郎將事。四年。憲敗。坐下獄死。年六十一。有集十七卷。〉			長安何紛紛。詔葬霍將軍。刺繡被百領。縣官給衣衾。（○《御覽》八百十五。）XX寶劍值千金。指之干樹枝。（○《書鈔》百二十二。《御覽》三百四十四。）XX延陵輕寶劍。（○《御覽》三百四十四。）
Lu1983.171	5.20	【歌】	崔駰	〈駰。字亭伯。涿郡安平人。少游太學。與班固、傅毅齊名。和帝初。車騎將軍竇憲闢為府掾。進主簿。察高第。出為長岑長。不之官而歸。永元四年卒。有集十捲。〉		〖駰作北巡頌。系此。〗	皇皇太上湛恩篤兮。庶見我王咸思覿兮。仁愛紛紜德優渥兮。滂霈群生澤淋漉兮。惠我無疆承天祉兮。流衍萬昆長無已兮。（○文館詞林三百四十六。）
Lu1983.172	5.21	【安封侯詩】	崔駰	〈駰。字亭伯。涿郡安平人。少游太學。與班固、傅毅齊名。和帝初。車騎將軍竇憲闢為府掾。進主簿。察高第。出為長岑長。不之官而歸。永元四年卒。有集十捲。〉	〖《御覽》作安豐侯詩。逯案。續漢志有安豐。無安封。則作安豐為是。〗		戎馬鳴兮金鼓震。壯士激兮忘身命。被兕甲兮跨良馬。揮長戟兮彀強弩。（○《類聚》五十九。廣《文選》十。《詩紀》三。又《御覽》三百三十九引馬、弩二韻。）
Lu1983.173	5.22	【七言詩】	崔駰	〈駰。字亭伯。涿郡安平人。少游太學。與班固、傅毅齊名。和帝初。車騎將軍竇憲闢為府掾。進主簿。察高第。出為長岑長。不之官而歸。永元四年卒。有集十捲。〉			鸞鳥高翔時來儀。應治歸德合望規。啄食楝實飲華池。（○《御覽》九百十六。百三家集崔亭伯集）
Lu1983.174	5.23	【又】	崔駰	〈駰。字亭伯。涿郡安平人。少游太學。與班固、傅毅齊名。和帝初。車騎將軍竇憲闢為府掾。進主簿。察高第。出為長岑長。不之官而歸。永元四年卒。有集十捲。〉			皦皦練絲退濁污。（○《文選》二十五答傅咸注。）
Lu1983.175	5.24	【三言詩】	崔駰	〈駰。字亭伯。涿郡安平人。少游太學。與班固、傅毅齊名。和帝初。車騎將軍竇憲闢為府掾。進主簿。察高第。出為長岑長。不之官而歸。永元四年卒。有集十捲。〉			屏九皋。詠典文。披五素。耽三墳。（○《書鈔》九十七。）
Lu1983.176	5.25	【迪志詩】	傅毅	〈毅。字武仲。扶風茂陵人。建初中為蘭台令史。拜郎中。與班固、賈逵共典校秘書。永元初。車騎將軍竇憲請為記室。憲遷大將軍。以為司馬。有集五卷。〉		〖《後漢書》曰：毅永平中於平陵習章句。因作迪志詩。〗	咨爾庶士。迨時斯勖。日月逾邁。豈雲旋復。哀我經營。膂力靡及。在茲弱冠。靡所樹立。于赫我祖。顯于殷國。貳跡阿衡。克光其則。武丁興商。伊宗皇士。爰作股肱。萬邦是紀。奕世載德。迄我顯考。保膺淑懿。纘修其道。漢之中頁。俊乂式序。秩彼殷宗。光此勛緒。伊余小子。穢陋靡逮。懼我世烈。自茲以墜。誰能革濁。清我濯溉。誰能昭暗。啟我童昧。先人有訓。我訊我誥。訓我嘉務。誨我博學。爰率朋友。尋此舊則。契闊夙夜。庶不懈忒。秩秩大猷。紀綱庶式。匪勤匪昭。匪壹匪測。農夫不怠。越有黍稷。誰能雲作。考之居息。二事敗頁。多疾我力。如彼遵衢。則罔所極。二志靡成。聿勞我心。如彼兼聽。則溷于音。于戲君子。無恆自逸。徂年如流。鮮茲暇日。行邁屢稅。胡能有迄。密勿朝夕。聿同始卒。（○《後漢書》傅毅傳。廣《文選》八。《詩紀》三。又《類聚》二十三引勖、復、國、則、逮、墜、逸、日八韻。《文選》四十一論盛孝章書注引日一韻。○逯案。《後漢書》膂力靡及句。膂作旅。注云。陳也。靡所樹立句。樹作庶。注云。無所庶幾成立也。是李賢所見本作旅作庶。與廣《文選》、《詩紀》皆異。作膂作樹似於義較勝。）
Lu1983.177	5.26	【歌】	傅毅	〈毅。字武仲。扶風茂陵人。建初中為蘭台令史。拜郎中。與班固、賈逵共典校秘書。永元初。車騎將軍竇憲請為記室。憲遷大將軍。以為司馬。有集五卷。〉		〖毅作七激。系此。〗	陟景山兮采芳苓。哀不慘傷樂不流聲。彈羽躍水叩角奮榮。沈微玄穆感物寤靈。（○《類聚》五十七。）
Lu1983.178	5.27	【贊賈逵詩】	劉珍	〈珍。字秋孫。一名寶。南陽蔡陽人。永初中為謁者僕射。永寧初。遷侍中、越騎校尉。延光四年。拜宗正。永建元年。轉衛尉。卒官。有集二卷。〉			摛藻揚暉。如山如雲。世有令聞。以迄于君。（○《書鈔》一百。）
Lu1983.179	5.28	【詩】	劉騊駼	〈騊駼。永初中。召入東觀。除校書郎。有集二卷。〉			縹碧以為瓦。（○《白帖》三劉駼騊詩。○逯案。駼騊二字倒誤。）
Lu1983.180	5.29	【九曲歌】	李尤	〈尤。字伯仁。廣漢雒人。永元中。召詣東觀。拜蘭台令史。安帝時為諫議大夫。順帝初。遷樂安相。卒年八十三。有集五卷。〉			年歲晚墓時已斜。安得壯士翻日車。（○《書鈔》百四十九。《類聚》一。杜公瞻編珠。《御覽》四。事類賦日賦。草堂詩箋十一洗馬詩注。《詩紀》三。）XX肥骨消滅隨塵去。（○《文選》二十八輓歌注。）
Lu1983.181	5.30	【武功歌】	李尤	〈尤。字伯仁。廣漢雒人。永元中。召詣東觀。拜蘭台令史。安帝時為諫議大夫。順帝初。遷樂安相。卒年八十三。有集五卷。〉			□□□。鳴金鼓。馬模起。士激怒。（○《書鈔》百二十一。）XX清埃飛。連日月。（○《文選》二十一謝宣遠張子房詩注。）XX恩普洽。威令行。（○《文選》五十九齊故安陸昭王碑注。）XX身非金石。名俱滅焉。（○《文選》三十七求自試表注。）
